edge_type_id target_query source_query distance_range target_sections weight_function model_template delay syn_weight dynamics_params
100 pop_name=='PING' pop_name=='Exc' "[0.0, 0.1]" ['soma'] NULL Exp2Syn 0 0.0005 PING_ExcToInh.json
101 pop_name=='PING' pop_name=='PING' "[0.0, 0.1]" ['soma'] NULL Exp2Syn 0 0.5 PING_InhToInh.json
102 pop_name=='Exc' pop_name=='PING' "[0.0, 0.1]" ['soma'] NULL Exp2Syn 0 0.5 PING_InhToExc.json
